customer_id,age,region,policy_type,purchase_channel,policy_tenure_years,annual_income,annual_premium,claim_flag,claim_amount,satisfaction_score,renewed
C100001,23,East,Auto,Agent,0,37981,1306.37,0,0.0,4.3,0
C100002,62,North,Home,Agent,2,62650,1424.99,0,0.0,3.9,1
C100003,55,East,Life,Partner,0,81006,2019.75,0,0.0,4.6,1
C100004,43,North,Health,Online,7,77704,2574.68,0,0.0,4.6,1
C100005,43,North,Life,Online,1,42445,1219.19,0,0.0,2.8,0
C100006,67,East,Home,Agent,3,57308,1471.18,0,0.0,3.1,0
C100007,22,West,Life,Online,7,65514,1935.18,0,0.0,3.3,1
C100008,58,Central,Health,Branch,10,52363,1975.24,0,0.0,3.9,1
C100009,29,West,Auto,Agent,0,47515,1045.45,0,0.0,4.2,1
C100010,23,Central,Auto,Branch,11,20852,1270.32,1,1600.45,3.4,1
C100011,48,West,Home,Branch,8,36429,1688.68,0,0.0,3.9,1
C100012,74,West,Life,Agent,0,39484,1207.48,0,0.0,3.2,1
C100013,60,North,Health,Branch,1,29295,1860.5,0,0.0,3.3,0
C100014,62,West,Auto,Online,15,53971,998.26,0,0.0,4.2,1
C100015,59,North,Auto,Agent,7,67598,938.69,0,0.0,4.3,1
C100016,63,North,Health,Agent,14,44454,1803.85,1,1805.55,3.8,1
C100017,47,North,Life,Online,8,18000,1406.09,0,0.0,3.6,1
C100018,25,Central,Health,Online,2,49869,1921.47,0,0.0,3.4,0
C100019,66,West,Home,Agent,11,56932,2209.4,0,0.0,3.4,1
C100020,44,Central,Health,Agent,7,55715,1380.86,0,0.0,3.9,0
C100021,47,Central,Life,Branch,6,39019,2050.03,0,0.0,4.7,0
C100022,39,Central,Home,Online,3,30310,1850.08,0,0.0,3.7,0
C100023,28,North,Auto,Online,7,67955,1304.64,0,0.0,4.0,0
C100024,71,Central,Home,Partner,15,58331,624.53,0,0.0,4.3,1
C100025,63,Central,Life,Online,3,39738,1471.53,0,0.0,4.2,1
C100026,55,Central,Life,Partner,9,24979,1429.45,1,525.96,3.9,1
C100027,41,North,Health,Branch,0,56007,2230.11,0,0.0,3.7,1
C100028,65,North,Auto,Agent,11,35844,730.26,1,4263.43,3.8,1
C100029,49,Central,Health,Online,14,58888,1896.51,1,791.95,3.8,1
C100030,43,North,Home,Partner,15,54841,1484.6,0,0.0,3.0,1
C100031,44,South,Auto,Partner,12,89384,1110.13,0,0.0,3.2,0
C100032,31,East,Life,Branch,10,50598,1129.92,0,0.0,3.5,0
C100033,23,North,Auto,Branch,9,88014,1323.02,0,0.0,3.4,1
C100034,50,North,Life,Agent,13,53474,1901.21,0,0.0,3.4,1
C100035,69,Central,Health,Online,0,39995,2702.65,0,0.0,5.0,1
C100036,21,Central,Auto,Partner,3,33001,1118.67,0,0.0,3.9,1
C100037,67,Central,Health,Online,0,36213,2384.15,0,0.0,4.5,1
C100038,66,South,Health,Agent,3,59723,1395.29,0,0.0,2.5,1
C100039,34,South,Life,Agent,3,54325,874.75,0,0.0,4.7,1
C100040,54,East,Health,Branch,7,18904,2440.57,0,0.0,3.2,1
